CON_NUM,CON_SIZE,STATUS,Assigned Location
TRJY9212751,40,E,A06B5
NFJW5741658,40,E,A06B6
EVCX6471612,40,E,A06B7
AFIV9137108,40,E,A06B8
IGAN8010156,40,E,A06B9
FXHY7784506,40,E,A06C1
OSMD5007086,40,E,A06C2
CMKY8358811,40,E,A06C3
OZHZ1089238,40,E,A06C4
TCWL4798985,40,E,A06C5
YHPG3094715,40,E,A06C6
KTPO9171145,40,E,A06C7
NZOM2732820,40,E,A06C8
RQNI6905644,40,E,A06C9
ITOZ6675017,40,E,A06D1
RMUC0383428,40,E,A06D2
KJPG2234832,40,E,A06D3
TBEX8101246,40,E,A06D4
LCFR6047548,40,E,A06D5
SOUH0850602,40,E,A06D6
VIMK4070111,40,E,A06D7
YTXH3591892,40,E,A06D8
JALI9446102,40,E,A06D9
XUXZ0963281,40,E,A06E1
VLRK3920146,40,E,A06E2
FPEU7913266,40,E,A06E3
JZBE5053226,40,E,A06E4
JJYZ9730367,40,L,A06E5
AHCJ2593175,40,L,A06E6
VXZW0286815,40,L,A06E7
MABD1665247,40,E,A06E8
WZIK2219504,40,L,A06E9
JWVU1856644,40,L,A06F1
ILDG2464978,40,L,A06F2
TPTG5772757,40,L,A06F3
FZFL4388397,40,L,A06F4
YJPP2639494,40,L,A06F5
TNET6700838,40,L,A06F6
OYQN6393669,40,L,A06F7
EKAW2489799,40,,A06F8
PEMT5062104,40,,A06F9
KXRR0535317,40,,A07A1
RULN1854407,40,E,A07A2
UVXZ9343325,40,E,A07A3
CBJG4884201,40,E,A07A4
ZRMD7959985,40,E,A07A5
LQFY7764627,40,E,A07A6
GHVK3750966,40,E,A07A7
GCDX3826211,40,E,A07A8
DMRS9622364,40,L,A07A9
JCLN3494031,40,E,A07B1
YTVI4475074,40,E,A07B2
CBVR9901354,40,E,A07B3
DFHV8230663,40,E,A07B4
JRBL0664316,40,E,A07B5
BPLS9312444,40,E,A07B6
NVTD0319326,40,E,A07B7
AVVK3464374,40,E,A07B8
ZWPG7151073,40,E,A07B9
VNIZ4316158,40,E,A07C1
VTJY5042023,40,E,A07C2
GOVP2559517,40,E,A07C3
DADE4496639,40,E,A07C4
NKHA4733411,40,L,A07C5
KKJO9941315,40,L,A07C6
KFIL5533499,40,L,A07C7
HNWJ5792648,40,L,A07C8
